season,week,date,home_team_id,away_team_id,home_team_score,away_team_score,ftr
2022,4,9/11/2021,1925,1808,0,1,A
2022,4,9/11/2021,5,2,3,0,H
2022,4,9/12/2021,8,9,0,3,A
2022,4,9/13/2021,7,1796,3,1,H
2022,5,9/17/2021,13,8,1,1,D
2022,5,9/18/2021,110,1925,0,2,A
2022,5,9/18/2021,9,1799,3,0,H
2022,5,9/18/2021,1792,1795,1,3,A
2022,5,9/18/2021,10,17,0,0,D
2022,5,9/18/2021,1796,1,0,1,A
2022,5,9/18/2021,2,7,3,0,H
2022,5,9/19/2021,19,11,1,2,A
2022,5,9/19/2021,1808,95,2,1,H
2022,5,9/19/2021,18,5,0,3,A
2022,6,9/25/2021,5,10,0,1,A
2022,6,9/25/2021,11,2,0,1,A
2022,6,9/25/2021,7,1792,2,0,H
2022,6,9/25/2021,8,19,1,2,A
2022,6,9/25/2021,1795,13,1,1,D
2022,6,9/25/2021,95,1796,2,2,D
2022,6,9/25/2021,1925,9,3,3,D
2022,6,9/26/2021,17,110,0,1,A
2022,6,9/26/2021,1,18,3,1,H
2022,6,9/27/2021,1799,1808,1,1,D
2022,7,10/2/2021,11,7,1,1,D
2022,7,10/2/2021,8,1795,1,0,H
2022,7,10/2/2021,110,13,2,1,H
2022,7,10/2/2021,1796,1792,0,0,D
2022,7,10/2/2021,5,17,3,1,H
2022,7,10/2/2021,1808,1,0,0,D
2022,7,10/3/2021,1799,95,2,2,D
2022,7,10/3/2021,19,1925,1,2,A
2022,7,10/3/2021,18,2,2,1,H
2022,7,10/3/2021,9,10,2,2,D
2022,8,10/16/2021,1795,9,0,5,A
2022,8,10/16/2021,95,11,4,2,H
2022,8,10/16/2021,17,8,1,0,H
2022,8,10/16/2021,10,1796,2,0,H
2022,8,10/16/2021,2,110,2,3,A
2022,8,10/16/2021,1792,1808,0,0,D
2022,8,10/16/2021,1925,5,0,1,A
2022,8,10/17/2021,7,19,0,1,A
2022,8,10/17/2021,13,18,2,3,A
2022,8,10/18/2021,1,1799,2,2,D
2022,9,10/22/2021,1,2,3,1,H
2022,9,10/23/2021,5,1792,7,0,H
2022,9,10/23/2021,17,1796,2,2,D
2022,9,10/23/2021,1799,13,1,1,D
2022,9,10/23/2021,7,1795,2,5,A
2022,9,10/23/2021,8,110,1,1,D
2022,9,10/23/2021,1808,10,1,4,A
2022,9,10/24/2021,19,18,1,0,H
2022,9,10/24/2021,1925,95,1,2,A
2022,9,10/24/2021,11,9,0,5,A
